 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"THIS TABLE USED IN PAPER (TABLE 5), 23 SIs final sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# TIME SERIES (selected for use),total count,useable logfits,useable linfits,spatial scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2,12,4,,,,passive buildings,pas,18,0,0,0,0,0,8,0,0,0,8,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,suff,,,green growth,,,
,4.3,11,3,,,,postage stamps,pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,4.4,0,0,,,,quitting smoking,qui,10,0,0,5,0,0,0,0,0,0,5,0,0,0,1,0,51,0,0,10,0,0,0,0,0,0,suff,,,,health,WEIRD,
,4.5,35,7,,,,solar leasing,sol,25,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,10,0,0,0,0,0,0,,,,green growth,,,
,4.6,0,0,,,,sustainable fashion,sus,3,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,90,0,0,8,0,0,0,0,0,0,suff,,,green growth,,,
,4.7,0,0,,,,teleworking,tel,24,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,162,0,0,2,0,0,0,0,0,0,,digi,,,,,
,total,1627,,,,,textile recycling,tex,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,4,0,0,0,0,0,0,suff,,,(green growth),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,total,,312,0,3,31,9,26,86,0,3,0,31,3,0,98,23,0,807,0,0,134,12,11,0,35,0,0,15,7,4,8,5,HATCH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sufficiency,digital,consume,green growth,health,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASHP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NH3 synthesis,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquaculture,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCG vaccine,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beer production,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biogas,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cable TV,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cd refining,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canals,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fisheries,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellphones,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coal prod,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copper mining,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crop harvesters,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTP1+3 vaccines,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discbrakea,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebikes,,Ebikes,,Ebikes,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electricity,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethanol,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flush toilet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flywheels,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freezer?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geothermal,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaccines x3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pesticide tolerant corn, soy, cotton",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High speed rail,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home AC,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home computer,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,internet access,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroelec,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"insecticide corn,",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iron ore,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jet aircraft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laundry dryers,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lead,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lead acid battery,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaccines x2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marine energy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microcomputers,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microwave oven,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NG prod, pipeine",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nitric acid,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N fertiliser,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOx pollution control,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuclear energy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuclear weapons,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,objects launched into space,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,offshore wind,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"oil prod, pipelines, refining",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,onshore wind,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaccines x2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P fertiliser,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,podcasting,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,postal traffic,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,potash fertiliser,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"primary Al, Bauxite prod",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public roads,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pumped hydro storage,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaccines x2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radio,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,railroad,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steel production,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,realtime gross settlement,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refridgerator?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,renewable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salt production,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sensible heat production,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shale production,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social media usage,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Na storage batteries,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar PV,,,solar PV,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solid biofuels,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steamships,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,electric stoves?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2SO4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,telegraph traffic,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,telephones,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TV,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wash machines?,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FGD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaccine x1,
