,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,971,1089,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,577,0,0,0,0,0,0,0,0,0,0,0
1,351,233,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,708,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,220,40,74,357,272,377,351,437,364,516,426
n,0,0,0,148,145,0,0,0,0,0,0,0,250,145
nan,0,0,37,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,954,1137,1248,965,1050,945,971,885,958,556,751
