Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log_x,use_lin_x,use_log_y,use_lin_y, old GN scoring @retreat,old GN comments,old CW scoring @retreat,comments_fit_CW,comments_delete_CW,comments_alternativeseries_CW,comments_transformations_CW,use_logfit_CW,use_linfit_CW,select_1.1_earegion_CW,select_1.1_allregions_CW,select_non1.1s_earegion_CW,select_non1.1s_allregions_CW,GN final scoring,use_logfit_GN,use_linfit_GN,select_1.1_earegion_GN,select_1.1_allregions_GN,select_non1.1s_earegion_GN,select_non1.1s_allregions_GN,PDF page,use_logfit_AGREE?,use_linfit_AGREE?,select_1.1_earegion_AGREE?,select_1.1_allregions_AGREE?,select_non1.1s_earegion_AGREE?,select_non1.1s_allregions_AGREE?,FINAL AGREED,use_logfit_FIN,use_linfit_FIN,select_1.1_earegion_FIN,select_1.1_allregions_FIN,select_non1.1s_earegion_FIN,select_non1.1s_allregions_FIN,Delete from working file,Unnamed: 89
act_ams_1.1Ado_d360_m185,active mobility,Amsterdam,1.1,Adoption over time,% trips by walking and biking EXCLUDING 1930,market share,b7,1.1077,0.0026517,0.0013983,1969.3,3.9672,0.49714,1.9635,2529.4,-2.3135,0.54632,0.20607,0.047359,0.036072,0.062786,-0.3121,0.068069,0.06083,0.070004,-0.30199,0.067806,0.060625,8,8,1.1264,0.68391,0.44253,44,4,7,1,0,0,0.89687,1,1,m,y,y,y,y,y,y,y,m,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
act_bei_1.1Ado_d332_m185,active mobility,Beijing,1.1,Adoption over time,% trips by walking and biking,market share,b7,-128.93,-0.00040147,-0.01425,1999.7,-0.034083,0.5403,-1544.5,-1.526e+05,28.852,-3.1777,9.3553,0.25892,0.205,-9.2413,-inf,0.4054,0.3851,0.96449,-inf,0.023871,0.0221,3,3,1,0.42569,0.57431,22,2,0,0,0,0,0.60149,1,1,n,m,y,y,y,y,m,y,y,n,m,m,m,,,,,0,prefer-relative,transformed-marketshare,1,1,0,1,0,0,,1,1,0,1,0,0,6,,,,,,,,1,1,0,1,0,0,,
act_chi_3.2Adc_d062_m003,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (highest 10% income),b7,-33.755,-0.017188,-3.0744,2007.5,-0.13018,162.97,289.01,1962.5,6300.3,0,-inf,30.662,25.078,0.51703,-0.4489,21.309,19.229,0.56489,-0.30533,20.226,18.246,4,4,1.2463,0.72407,0.52225,21,2,0,1,0,0,0.78003,0,0,n,m,y,y,y,y,y,y,y,n,m,m,m,2,,,,0,,,0,1,,,,,,1,1,0,0,0,0,8,check,,,,,,,1,1,0,0,0,0,delete,
act_chi_3.2Adc_d062_m004,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (lowest 10% income),b7,-2.6167,-0.0083411,-1.3736,2006.3,-1.6794,157.06,260.14,1925.7,2886.7,0.61758,-inf,16.895,12.122,0.12506,-1.6248,25.555,25.04,0.14203,-1.5739,25.306,24.861,4,4,1.1498,0.68431,0.46548,21,2,0,1,0,0,0.80089,0,0,m,m,y,y,y,y,y,y,m,m,m,m,m,2,,,,0,,,0,1,,,,,,0,1,0,0,0,0,9,,,,,,,,0,1,0,0,0,0,delete,
act_chi_3.2Adc_d062_m005,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (middle income groups),b7,-0.35805,-0.013207,-2.4015,2007.8,-12.273,181.57,265.52,1958.9,4957,0.75315,-inf,14.824,11.464,0.32729,-1.0181,24.472,23.3,0.364,-0.90799,23.795,22.74,4,4,1.1186,0.65538,0.46323,21,2,0,1,0,0,0.79113,0,0,y,m,y,y,y,y,y,y,y,m,m,m,m,2,,,,0,,,0,1,,,,,,1,1,0,0,0,1,10,check,,,,,,,1,1,0,0,0,1,,
act_chi_4.1Sal_d213_m100,active mobility,China,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,2.0949,0.076912,3.6253,2013.4,2.0976,61.747,0.67025,1963.9,-7267.6,0.79934,0.76393,14.129,9.9399,0.36338,0.29265,25.166,21.242,0.48439,0.4271,22.649,17.771,21,20,1.6195,0.017461,1.6021,21,8,20,1,0,1,0.93024,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,,,,,0,hide,original,1,1,0,0,0,0,,1,0,0,0,0,0,11,,check,,,,,,1,1,0,0,0,0,delete,
act_chi_4.1Sal_d239_m153,active mobility,China,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.0431,0.49369,6.5779,2014.6,4.213,123.43,0.018792,1998.5,-13201,0.99639,0.99519,1.8903,1.5688,0.97515,0.97018,4.9601,3.8128,0.61177,0.53412,19.606,16.835,13,12,0.81017,0.0087349,0.80143,13,0,12,0,0,1,0.66032,0,1,y,y,y,y,y,y,m,y,y,m,m,y,y,,,,,0,prefer,transformed-partial,1,1,0,0,0,1,,1,1,0,0,0,1,12,,,,,,,,1,1,0,0,0,1,,
act_cop_1.1Ado_d332_m185,active mobility,Copenhagen,1.1,Adoption over time,% trips by walking and biking,market share,b7,0.015233,0.0013115,0.0036752,2016.9,288.48,1,1555.2,1.5744e+05,-6.9138,0.36641,-inf,0.051084,0.045033,-46.472,-141.42,0.44218,0.4375,0.35971,-0.92086,0.051353,0.045256,4,4,0.52,0.34,0.18,28,0,2,0,1,0,0.6861,1,1,m,m,y,y,y,y,m,m,y,m,m,m,m,,,,,0,prefer-relative,transformed-marketshare,1,1,0,1,0,0,,1,1,0,1,0,0,15,,,,,,,,1,1,0,1,0,0,,
act_den_4.1Sal_d213_m100,active mobility,Denmark,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,5.3823,0.046164,2.6871,2011.1,0.81647,61.49,1.2043,1938.2,-5371.1,0.6915,0.63706,17.672,13.516,0.18602,0.095577,28.705,24.86,0.26155,0.1795,27.341,23.166,21,20,1.6263,0.0025937,1.6237,21,9,16,1,1,1,0.94961,0,1,m,y,y,y,y,y,y,y,m,m,m,m,m,,,,,0,hide,original,1,1,0,0,0,0,,1,0,0,0,0,0,16,,check,,,,,,1,1,0,0,0,0,delete,
act_den_4.1Sal_d239_m153,active mobility,Denmark,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.43,0.31326,9.5766,2011.7,3.073,98.11,0.0079543,1984.4,-19211,0.987,0.98212,4.3211,3.2716,0.89193,0.86791,12.458,10.933,0.76106,0.70796,18.524,16.71,12,11,1.0193,0.0016256,1.0176,12,0,7,0,1,1,0.79251,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,,,,,0,prefer,transformed-partial,1,1,0,0,0,1,,1,1,0,0,0,1,17,,,,,,,,1,1,0,0,0,1,,
