,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,1220,1337,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,660,0,0,0,0,0,0,0,0,0,0,0
1,420,303,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,919,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,265,56,102,493,371,513,488,562,446,642,536
n,0,0,0,212,218,0,0,0,0,0,0,0,379,218
nan,0,0,61,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,1163,1366,1538,1147,1269,1127,1152,1078,1194,619,886
