,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,1247,1374,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,694,0,0,0,0,0,0,0,0,0,0,0
1,438,311,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,930,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,273,61,102,495,372,516,493,583,453,664,548
n,0,0,0,220,220,0,0,0,0,0,0,0,388,220
nan,0,0,61,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,1192,1404,1583,1190,1313,1169,1192,1102,1232,633,917
