Year,Value,Innovation Name,Indicator Number,Indicator Name,Description,Metric,Data Source,Comments,Spatial Scale,File,Sheet
1997,19000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
1998,23000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
1999,29000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2000,38000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2001,46000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2002,55000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2003,59500.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2004,68500.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2005,76000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
2006,83000.0,car sharing,1.1,Adoption over time,registered drivers,# drivers,Bundesverband CarSharing e. V. (2024). www.carsharing.de,,Germany,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_final/car sharing NB 15Nov.xlsx,Germany
