,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,531,703,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,422,0,0,0,0,0,0,0,0,0,0,0
1,376,204,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,475,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,210,49,42,243,205,263,215,264,250,385,328
n,0,0,0,168,81,0,0,0,0,0,0,0,217,81
nan,0,0,10,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,529,777,865,664,702,644,692,643,657,305,498
