,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,1229,1383,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,694,0,0,0,0,0,0,0,0,0,0,0
1,462,308,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,937,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,292,60,105,499,378,522,481,552,461,689,555
n,0,0,0,193,208,0,0,0,0,0,0,0,339,208
nan,0,0,60,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,1206,1423,1586,1192,1313,1169,1210,1139,1230,663,928
