,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,1332,1562,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,814,0,0,0,0,0,0,0,0,0,0,0
1,573,343,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,341,61,106,508,386,533,503,637,520,774,610
n,0,0,0,226,231,0,0,0,0,0,0,0,386,231
nan,0,0,63,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,1338,1613,1799,1397,1519,1372,1402,1268,1385,745,1064
