Year,Value,Innovation Name,Indicator Number,Indicator Name,Description,Metric,Data Source,Comments,Spatial Scale,File,Sheet
1985,0.62,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
1994,0.69,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
1998,0.7,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
2001,0.68,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
2005,0.73,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
2011,0.75,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
2013,0.72,active mobility,1.1,Adoption over time,Bike ownership,%,Gemeente Amsterdam 2014,"% of households, population, adult population?",Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
1930,0.31,active mobility,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,"Oldenziel, et al. 2017",,Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
1970,0.22,active mobility,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,"Oldenziel, et al. 2017",,Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
1985,0.22,active mobility,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,"Oldenziel, et al. 2017",,Amsterdam,/Users/dani/Energy Emissions/Priorities Attempt/Cleaned_3_11/active mobility LN 5Dec.xlsx,Amsterdam
