,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,48,51,10,0,0,0,0,0,0,0,0,0,0,0
1,5,2,43,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,3,0,3,3,3,0,8,6
y,0,0,0,53,53,53,50,53,50,50,50,53,45,47
