,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,1389,1623,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,854,0,0,0,0,0,0,0,0,0,0,0
1,580,346,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,342,63,106,510,388,536,507,674,544,788,636
n,0,0,0,250,232,0,0,0,0,0,0,0,410,232
nan,0,0,64,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,1377,1674,1863,1459,1581,1433,1462,1295,1425,771,1101
