,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,1378,1583,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,834,0,0,0,0,0,0,0,0,0,0,0
1,551,346,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,329,63,106,508,386,534,505,650,503,774,596
n,0,0,0,221,231,0,0,0,0,0,0,0,381,231
nan,0,0,63,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,1379,1635,1823,1421,1543,1395,1424,1279,1426,774,1102
