,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
0,773,894,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,477,0,0,0,0,0,0,0,0,0,0,0
1,275,154,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,546,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,164,21,63,279,209,293,275,369,305,408,329
n,0,0,0,137,115,0,0,0,0,0,0,0,222,115
nan,0,0,25,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,747,912,985,769,839,755,773,679,743,418,604
